                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.10814,                    0.9,                      1,                0.13733,             0.00023422,             0.00023422,             0.00023422
                      1,                0.06604,                    0.9,                      1,                0.13637,             0.00046755,             0.00046755,             0.00046755
                      2,                0.05633,                  0.875,                      1,                0.13367,             0.00069616,             0.00069616,             0.00069616
                      3,                0.04613,                   0.85,                      1,                0.14601,             0.00069279,             0.00069279,             0.00069279
                      4,                0.05594,                  0.925,                      1,                0.13327,             0.00069279,             0.00069279,             0.00069279
                      5,                0.05117,                  0.925,                      1,                0.12164,             0.00068573,             0.00068573,             0.00068573
                      6,                 0.0497,                    0.9,                      1,                0.12653,             0.00067866,             0.00067866,             0.00067866
                      7,                0.04822,                  0.875,                      1,                0.13518,             0.00067159,             0.00067159,             0.00067159
                      8,                0.03894,                   0.95,                      1,                0.12186,             0.00066452,             0.00066452,             0.00066452
                      9,                0.03584,                    0.9,                      1,                0.13132,             0.00065745,             0.00065745,             0.00065745
                     10,                0.03169,                    0.9,                      1,                0.12471,             0.00065038,             0.00065038,             0.00065038
                     11,                0.02911,                  0.875,                      1,                0.13184,             0.00064331,             0.00064331,             0.00064331
                     12,                0.02946,                  0.875,                      1,                0.13203,             0.00063625,             0.00063625,             0.00063625
                     13,                0.03299,                    0.9,                      1,                0.12671,             0.00062918,             0.00062918,             0.00062918
                     14,                0.03162,                   0.85,                      1,                 0.1481,             0.00062211,             0.00062211,             0.00062211
                     15,                0.02594,                    0.9,                      1,                0.13292,             0.00061504,             0.00061504,             0.00061504
                     16,                0.02731,                  0.875,                      1,                0.12784,             0.00060797,             0.00060797,             0.00060797
                     17,                0.02323,                    0.9,                      1,                0.12505,              0.0006009,              0.0006009,              0.0006009
                     18,                 0.0237,                    0.9,                      1,                0.13022,             0.00059383,             0.00059383,             0.00059383
                     19,                0.02591,                   0.95,                      1,                0.11816,             0.00058677,             0.00058677,             0.00058677
                     20,                0.02244,                    0.9,                      1,                0.12428,              0.0005797,              0.0005797,              0.0005797
                     21,                 0.0234,                  0.925,                      1,                 0.1265,             0.00057263,             0.00057263,             0.00057263
                     22,                0.02421,                  0.925,                      1,                0.11969,             0.00056556,             0.00056556,             0.00056556
                     23,                0.01966,                    0.9,                      1,                 0.1264,             0.00055849,             0.00055849,             0.00055849
                     24,                0.02124,                  0.925,                      1,                0.12608,             0.00055142,             0.00055142,             0.00055142
                     25,                 0.0205,                   0.95,                      1,                0.11867,             0.00054435,             0.00054435,             0.00054435
                     26,                 0.0174,                   0.95,                      1,                0.11774,             0.00053728,             0.00053728,             0.00053728
                     27,                0.02357,                  0.875,                      1,                0.13571,             0.00053022,             0.00053022,             0.00053022
                     28,                0.02189,                  0.925,                      1,                0.12184,             0.00052315,             0.00052315,             0.00052315
                     29,                0.01957,                    0.9,                      1,                0.13188,             0.00051608,             0.00051608,             0.00051608
                     30,                0.01261,                    0.9,                      1,                0.12648,             0.00050901,             0.00050901,             0.00050901
                     31,                 0.0186,                  0.925,                      1,                0.12393,             0.00050194,             0.00050194,             0.00050194
                     32,                 0.0182,                  0.875,                      1,                0.13579,             0.00049487,             0.00049487,             0.00049487
                     33,                0.01534,                  0.875,                      1,                0.13298,              0.0004878,              0.0004878,              0.0004878
                     34,                0.01739,                  0.875,                      1,                0.13419,             0.00048074,             0.00048074,             0.00048074
                     35,                0.01357,                  0.925,                      1,                0.12457,             0.00047367,             0.00047367,             0.00047367
                     36,                0.01381,                  0.875,                      1,                0.12624,              0.0004666,              0.0004666,              0.0004666
                     37,                0.01507,                    0.9,                      1,                0.12157,             0.00045953,             0.00045953,             0.00045953
                     38,                0.01154,                  0.925,                      1,                 0.1156,             0.00045246,             0.00045246,             0.00045246
                     39,                0.00805,                    0.9,                      1,                 0.1235,             0.00044539,             0.00044539,             0.00044539
                     40,                0.01014,                    0.9,                      1,                0.12027,             0.00043832,             0.00043832,             0.00043832
                     41,                0.00743,                   0.95,                      1,                0.11414,             0.00043126,             0.00043126,             0.00043126
                     42,                  0.013,                  0.925,                      1,                0.11766,             0.00042419,             0.00042419,             0.00042419
                     43,                0.00813,                    0.9,                      1,                0.12317,             0.00041712,             0.00041712,             0.00041712
                     44,                0.01248,                    0.9,                      1,                0.12628,             0.00041005,             0.00041005,             0.00041005
                     45,                0.01339,                  0.925,                      1,                0.12422,             0.00040298,             0.00040298,             0.00040298
                     46,                0.00949,                    0.9,                      1,                0.12553,             0.00039591,             0.00039591,             0.00039591
                     47,                0.00701,                    0.9,                      1,                0.12271,             0.00038884,             0.00038884,             0.00038884
                     48,                0.00663,                  0.875,                      1,                0.12993,             0.00038178,             0.00038178,             0.00038178
                     49,                0.00853,                  0.875,                      1,                0.12892,             0.00037471,             0.00037471,             0.00037471
                     50,                0.01377,                  0.925,                      1,                0.11731,             0.00036764,             0.00036764,             0.00036764
                     51,                0.00742,                    0.9,                      1,                0.12048,             0.00036057,             0.00036057,             0.00036057
                     52,                0.01397,                    0.9,                      1,                0.12538,              0.0003535,              0.0003535,              0.0003535
                     53,                0.01106,                    0.9,                      1,                0.13144,             0.00034643,             0.00034643,             0.00034643
                     54,                0.00582,                  0.875,                      1,                 0.1268,             0.00033936,             0.00033936,             0.00033936
                     55,                0.00907,                  0.925,                      1,                0.12408,              0.0003323,              0.0003323,              0.0003323
                     56,                0.00781,                  0.925,                      1,                0.12494,             0.00032523,             0.00032523,             0.00032523
                     57,                0.01288,                  0.925,                      1,                 0.1209,             0.00031816,             0.00031816,             0.00031816
