                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.12883,                  0.825,                      1,                0.15112,             0.00023422,             0.00023422,             0.00023422
                      1,                0.07047,                   0.85,                      1,                0.14322,             0.00046755,             0.00046755,             0.00046755
                      2,                0.04693,                   0.85,                      1,                0.14034,             0.00069616,             0.00069616,             0.00069616
                      3,                0.03345,                  0.925,                      1,                0.12952,             0.00069279,             0.00069279,             0.00069279
                      4,                0.03303,                   0.95,                      1,                0.12128,             0.00069279,             0.00069279,             0.00069279
                      5,                0.04155,                    0.9,                      1,                0.13011,             0.00068573,             0.00068573,             0.00068573
                      6,                0.03371,                  0.925,                      1,                0.12375,             0.00067866,             0.00067866,             0.00067866
                      7,                0.02996,                  0.875,                      1,                0.12585,             0.00067159,             0.00067159,             0.00067159
                      8,                0.02665,                    0.8,                      1,                 0.1476,             0.00066452,             0.00066452,             0.00066452
                      9,                0.02872,                    0.9,                      1,                0.13148,             0.00065745,             0.00065745,             0.00065745
                     10,                0.02726,                  0.925,                      1,                0.12288,             0.00065038,             0.00065038,             0.00065038
                     11,                0.02129,                  0.925,                      1,                0.12204,             0.00064331,             0.00064331,             0.00064331
                     12,                0.01926,                    0.9,                      1,                0.12886,             0.00063625,             0.00063625,             0.00063625
                     13,                0.02056,                  0.875,                      1,                 0.1338,             0.00062918,             0.00062918,             0.00062918
                     14,                0.01852,                    0.9,                      1,                0.12988,             0.00062211,             0.00062211,             0.00062211
                     15,                0.01435,                    0.9,                      1,                0.13124,             0.00061504,             0.00061504,             0.00061504
                     16,                 0.0164,                    0.9,                      1,                0.12163,             0.00060797,             0.00060797,             0.00060797
                     17,                0.01335,                  0.925,                      1,                0.12105,              0.0006009,              0.0006009,              0.0006009
                     18,                 0.0162,                  0.925,                      1,                0.12576,             0.00059383,             0.00059383,             0.00059383
                     19,                0.01426,                    0.9,                      1,                0.13431,             0.00058677,             0.00058677,             0.00058677
                     20,                0.02156,                  0.875,                      1,                0.13669,              0.0005797,              0.0005797,              0.0005797
                     21,                0.02239,                  0.825,                      1,                0.14661,             0.00057263,             0.00057263,             0.00057263
                     22,                0.02177,                    0.9,                      1,                 0.1308,             0.00056556,             0.00056556,             0.00056556
                     23,                0.01153,                  0.875,                      1,                0.13576,             0.00055849,             0.00055849,             0.00055849
                     24,                0.01372,                    0.9,                      1,                0.13153,             0.00055142,             0.00055142,             0.00055142
                     25,                0.01396,                   0.95,                      1,                0.12262,             0.00054435,             0.00054435,             0.00054435
                     26,                0.01287,                   0.95,                      1,                0.12105,             0.00053728,             0.00053728,             0.00053728
                     27,                0.01945,                    0.9,                      1,                0.13004,             0.00053022,             0.00053022,             0.00053022
                     28,                0.01913,                  0.925,                      1,                 0.1274,             0.00052315,             0.00052315,             0.00052315
                     29,                0.01097,                   0.85,                      1,                 0.1356,             0.00051608,             0.00051608,             0.00051608
                     30,                0.00853,                  0.875,                      1,                0.13397,             0.00050901,             0.00050901,             0.00050901
                     31,                0.01057,                  0.925,                      1,                0.12584,             0.00050194,             0.00050194,             0.00050194
                     32,                0.01175,                    0.9,                      1,                0.12871,             0.00049487,             0.00049487,             0.00049487
                     33,                0.00867,                  0.925,                      1,                 0.1254,              0.0004878,              0.0004878,              0.0004878
                     34,                0.01012,                    0.9,                      1,                0.12752,             0.00048074,             0.00048074,             0.00048074
                     35,                0.00829,                  0.825,                      1,                 0.1445,             0.00047367,             0.00047367,             0.00047367
                     36,                0.00847,                    0.9,                      1,                0.13104,              0.0004666,              0.0004666,              0.0004666
                     37,                0.01027,                  0.875,                      1,                0.13657,             0.00045953,             0.00045953,             0.00045953
                     38,                0.00728,                  0.825,                      1,                0.14415,             0.00045246,             0.00045246,             0.00045246
                     39,                0.00571,                   0.85,                      1,                0.13881,             0.00044539,             0.00044539,             0.00044539
                     40,                0.00684,                   0.85,                      1,                0.14116,             0.00043832,             0.00043832,             0.00043832
                     41,                0.00699,                    0.9,                      1,                0.13106,             0.00043126,             0.00043126,             0.00043126
                     42,                0.00809,                  0.875,                      1,                0.13753,             0.00042419,             0.00042419,             0.00042419
                     43,                0.00592,                   0.85,                      1,                0.13608,             0.00041712,             0.00041712,             0.00041712
                     44,                0.00876,                  0.875,                      1,                0.13051,             0.00041005,             0.00041005,             0.00041005
                     45,                0.00665,                  0.925,                      1,                0.12311,             0.00040298,             0.00040298,             0.00040298
                     46,                0.00442,                   0.95,                      1,                0.12013,             0.00039591,             0.00039591,             0.00039591
                     47,                 0.0029,                  0.925,                      1,                 0.1214,             0.00038884,             0.00038884,             0.00038884
                     48,                0.00342,                  0.925,                      1,                0.12239,             0.00038178,             0.00038178,             0.00038178
                     49,                 0.0067,                  0.925,                      1,                0.12247,             0.00037471,             0.00037471,             0.00037471
                     50,                 0.0032,                  0.925,                      1,                0.12439,             0.00036764,             0.00036764,             0.00036764
                     51,                0.00296,                  0.875,                      1,                0.13719,             0.00036057,             0.00036057,             0.00036057
                     52,                0.00919,                   0.95,                      1,                0.12076,              0.0003535,              0.0003535,              0.0003535
                     53,                0.00316,                  0.925,                      1,                0.12212,             0.00034643,             0.00034643,             0.00034643
