                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.12367,                   0.85,                      1,                0.14288,             0.00023422,             0.00023422,             0.00023422
                      1,                0.06734,                    0.9,                      1,                0.14174,             0.00046755,             0.00046755,             0.00046755
                      2,                0.04918,                  0.825,                      1,                0.14667,             0.00069616,             0.00069616,             0.00069616
                      3,                0.03685,                  0.825,                      1,                0.14467,             0.00069279,             0.00069279,             0.00069279
                      4,                0.04194,                  0.825,                      1,                0.13947,             0.00069279,             0.00069279,             0.00069279
                      5,                0.05314,                  0.875,                      1,                0.13257,             0.00068573,             0.00068573,             0.00068573
                      6,                0.03991,                    0.9,                      1,                0.12268,             0.00067866,             0.00067866,             0.00067866
                      7,                0.03273,                  0.975,                      1,                  0.116,             0.00067159,             0.00067159,             0.00067159
                      8,                0.02938,                  0.925,                      1,                  0.119,             0.00066452,             0.00066452,             0.00066452
                      9,                0.02924,                    0.9,                      1,                0.12436,             0.00065745,             0.00065745,             0.00065745
                     10,                0.02713,                  0.975,                      1,                0.11606,             0.00065038,             0.00065038,             0.00065038
                     11,                0.02444,                   0.95,                      1,                 0.1188,             0.00064331,             0.00064331,             0.00064331
                     12,                0.02219,                   0.95,                      1,                0.11812,             0.00063625,             0.00063625,             0.00063625
                     13,                0.02511,                  0.925,                      1,                0.12303,             0.00062918,             0.00062918,             0.00062918
                     14,                0.02116,                  0.925,                      1,                0.12067,             0.00062211,             0.00062211,             0.00062211
                     15,                0.01859,                   0.95,                      1,                0.11482,             0.00061504,             0.00061504,             0.00061504
                     16,                0.02107,                   0.95,                      1,                0.11235,             0.00060797,             0.00060797,             0.00060797
                     17,                0.01372,                    0.9,                      1,                0.11963,              0.0006009,              0.0006009,              0.0006009
                     18,                0.01351,                   0.95,                      1,                0.11307,             0.00059383,             0.00059383,             0.00059383
                     19,                0.02009,                   0.95,                      1,                0.11365,             0.00058677,             0.00058677,             0.00058677
                     20,                0.02386,                    0.9,                      1,                0.12292,              0.0005797,              0.0005797,              0.0005797
                     21,                0.02392,                  0.875,                      1,                0.13507,             0.00057263,             0.00057263,             0.00057263
                     22,                0.01517,                  0.925,                      1,                0.11627,             0.00056556,             0.00056556,             0.00056556
                     23,                0.01033,                  0.925,                      1,                0.12132,             0.00055849,             0.00055849,             0.00055849
                     24,                0.01312,                  0.925,                      1,                0.12131,             0.00055142,             0.00055142,             0.00055142
                     25,                0.01379,                  0.925,                      1,                0.11853,             0.00054435,             0.00054435,             0.00054435
                     26,                 0.0124,                   0.95,                      1,                  0.117,             0.00053728,             0.00053728,             0.00053728
                     27,                0.01529,                  0.925,                      1,                0.12256,             0.00053022,             0.00053022,             0.00053022
                     28,                0.01229,                  0.925,                      1,                0.12296,             0.00052315,             0.00052315,             0.00052315
                     29,                0.01122,                  0.875,                      1,                0.12941,             0.00051608,             0.00051608,             0.00051608
                     30,                0.00772,                  0.925,                      1,                0.11864,             0.00050901,             0.00050901,             0.00050901
                     31,                0.00942,                  0.925,                      1,                0.12296,             0.00050194,             0.00050194,             0.00050194
                     32,                0.00876,                  0.925,                      1,                0.12207,             0.00049487,             0.00049487,             0.00049487
                     33,                0.00933,                  0.925,                      1,                0.12196,              0.0004878,              0.0004878,              0.0004878
                     34,                0.01015,                  0.925,                      1,                0.12352,             0.00048074,             0.00048074,             0.00048074
                     35,                0.00834,                    0.9,                      1,                0.12419,             0.00047367,             0.00047367,             0.00047367
                     36,                 0.0085,                   0.95,                      1,                0.11929,              0.0004666,              0.0004666,              0.0004666
                     37,                0.01193,                  0.925,                      1,                0.11862,             0.00045953,             0.00045953,             0.00045953
                     38,                 0.0102,                  0.925,                      1,                0.12239,             0.00045246,             0.00045246,             0.00045246
                     39,                0.00623,                  0.925,                      1,                0.12112,             0.00044539,             0.00044539,             0.00044539
                     40,                 0.0077,                  0.925,                      1,                0.11691,             0.00043832,             0.00043832,             0.00043832
                     41,                0.00785,                  0.925,                      1,                 0.1183,             0.00043126,             0.00043126,             0.00043126
                     42,                0.01121,                    0.9,                      1,                0.12537,             0.00042419,             0.00042419,             0.00042419
                     43,                0.00678,                   0.95,                      1,                0.11508,             0.00041712,             0.00041712,             0.00041712
                     44,                0.00665,                  0.925,                      1,                0.12074,             0.00041005,             0.00041005,             0.00041005
                     45,                0.00938,                   0.95,                      1,                0.11578,             0.00040298,             0.00040298,             0.00040298
                     46,                 0.0087,                   0.95,                      1,                0.11478,             0.00039591,             0.00039591,             0.00039591
                     47,                0.00603,                   0.95,                      1,                0.11627,             0.00038884,             0.00038884,             0.00038884
                     48,                0.00572,                  0.925,                      1,                0.12175,             0.00038178,             0.00038178,             0.00038178
                     49,                0.00468,                  0.925,                      1,                0.12297,             0.00037471,             0.00037471,             0.00037471
                     50,                0.00376,                  0.925,                      1,                0.12154,             0.00036764,             0.00036764,             0.00036764
                     51,                0.00337,                  0.925,                      1,                0.12402,             0.00036057,             0.00036057,             0.00036057
                     52,                0.01307,                   0.95,                      1,                0.11722,              0.0003535,              0.0003535,              0.0003535
                     53,                0.00439,                  0.925,                      1,                0.12163,             0.00034643,             0.00034643,             0.00034643
                     54,                0.00406,                  0.925,                      1,                0.12158,             0.00033936,             0.00033936,             0.00033936
                     55,                0.00422,                  0.925,                      1,                0.12213,              0.0003323,              0.0003323,              0.0003323
                     56,                0.00871,                   0.95,                      1,                0.11366,             0.00032523,             0.00032523,             0.00032523
                     57,                0.01316,                  0.925,                      1,                0.12302,             0.00031816,             0.00031816,             0.00031816
                     58,                0.00412,                  0.925,                      1,                0.12018,             0.00031109,             0.00031109,             0.00031109
                     59,                0.00416,                  0.925,                      1,                0.11823,             0.00030402,             0.00030402,             0.00030402
                     60,                0.00441,                  0.925,                      1,                 0.1163,             0.00029695,             0.00029695,             0.00029695
