                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.12418,                   0.85,                      1,                0.15271,             0.00023422,             0.00023422,             0.00023422
                      1,                0.06954,                  0.875,                      1,                0.14027,             0.00046755,             0.00046755,             0.00046755
                      2,                0.06104,                  0.875,                      1,                0.13843,             0.00069616,             0.00069616,             0.00069616
                      3,                0.05309,                    0.9,                      1,                0.13025,             0.00069279,             0.00069279,             0.00069279
                      4,                0.03977,                    0.9,                      1,                0.12836,             0.00069279,             0.00069279,             0.00069279
                      5,                0.05648,                  0.875,                      1,                0.13147,             0.00068573,             0.00068573,             0.00068573
                      6,                 0.0478,                    0.9,                      1,                0.13022,             0.00067866,             0.00067866,             0.00067866
                      7,                0.04371,                  0.925,                      1,                0.12431,             0.00067159,             0.00067159,             0.00067159
                      8,                0.03846,                   0.95,                      1,                0.12352,             0.00066452,             0.00066452,             0.00066452
                      9,                0.03699,                  0.925,                      1,                0.12247,             0.00065745,             0.00065745,             0.00065745
                     10,                0.04176,                  0.925,                      1,                0.12108,             0.00065038,             0.00065038,             0.00065038
                     11,                0.03537,                    0.9,                      1,                0.12674,             0.00064331,             0.00064331,             0.00064331
                     12,                0.03533,                    0.9,                      1,                0.12733,             0.00063625,             0.00063625,             0.00063625
                     13,                0.03769,                   0.95,                      1,                0.12112,             0.00062918,             0.00062918,             0.00062918
                     14,                 0.0322,                  0.925,                      1,                0.12338,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.0276,                  0.925,                      1,                0.12558,             0.00061504,             0.00061504,             0.00061504
                     16,                0.03337,                    0.9,                      1,                0.13004,             0.00060797,             0.00060797,             0.00060797
                     17,                0.03386,                   0.95,                      1,                0.12045,              0.0006009,              0.0006009,              0.0006009
                     18,                0.02204,                    0.9,                      1,                0.12479,             0.00059383,             0.00059383,             0.00059383
                     19,                0.02368,                   0.95,                      1,                0.11929,             0.00058677,             0.00058677,             0.00058677
                     20,                0.03133,                  0.925,                      1,                0.12051,              0.0005797,              0.0005797,              0.0005797
                     21,                0.02982,                  0.925,                      1,                 0.1265,             0.00057263,             0.00057263,             0.00057263
                     22,                0.02881,                    0.9,                      1,                0.12952,             0.00056556,             0.00056556,             0.00056556
                     23,                0.02891,                    0.9,                      1,                0.12234,             0.00055849,             0.00055849,             0.00055849
                     24,                0.02101,                    0.9,                      1,                0.12425,             0.00055142,             0.00055142,             0.00055142
                     25,                0.02731,                  0.925,                      1,                0.12125,             0.00054435,             0.00054435,             0.00054435
                     26,                0.02012,                   0.95,                      1,                0.11589,             0.00053728,             0.00053728,             0.00053728
                     27,                0.03552,                  0.925,                      1,                0.11832,             0.00053022,             0.00053022,             0.00053022
                     28,                0.02933,                  0.925,                      1,                0.12474,             0.00052315,             0.00052315,             0.00052315
                     29,                0.02569,                   0.95,                      1,                  0.118,             0.00051608,             0.00051608,             0.00051608
                     30,                0.01923,                  0.925,                      1,                0.12325,             0.00050901,             0.00050901,             0.00050901
                     31,                0.02209,                   0.95,                      1,                0.12044,             0.00050194,             0.00050194,             0.00050194
                     32,                0.02302,                   0.95,                      1,                0.11307,             0.00049487,             0.00049487,             0.00049487
