                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.13578,                  0.875,                      1,                 0.1524,             0.00023422,             0.00023422,             0.00023422
                      1,                0.08131,                  0.875,                      1,                0.14111,             0.00046755,             0.00046755,             0.00046755
                      2,                0.05089,                  0.875,                      1,                0.13255,             0.00069616,             0.00069616,             0.00069616
                      3,                0.03523,                  0.875,                      1,                0.12802,             0.00069279,             0.00069279,             0.00069279
                      4,                0.03909,                  0.875,                      1,                0.12932,             0.00069279,             0.00069279,             0.00069279
                      5,                0.04127,                  0.925,                      1,                0.12593,             0.00068573,             0.00068573,             0.00068573
                      6,                0.03178,                  0.925,                      1,                0.12662,             0.00067866,             0.00067866,             0.00067866
                      7,                0.02866,                    0.9,                      1,                0.13211,             0.00067159,             0.00067159,             0.00067159
                      8,                0.02802,                  0.875,                      1,                0.13188,             0.00066452,             0.00066452,             0.00066452
                      9,                0.02722,                  0.875,                      1,                0.13246,             0.00065745,             0.00065745,             0.00065745
                     10,                0.02331,                    0.9,                      1,                0.12997,             0.00065038,             0.00065038,             0.00065038
                     11,                 0.0188,                  0.925,                      1,                0.12442,             0.00064331,             0.00064331,             0.00064331
                     12,                0.01643,                  0.925,                      1,                0.12233,             0.00063625,             0.00063625,             0.00063625
                     13,                0.02702,                  0.875,                      1,                0.13406,             0.00062918,             0.00062918,             0.00062918
                     14,                0.02174,                  0.875,                      1,                0.13593,             0.00062211,             0.00062211,             0.00062211
                     15,                0.01818,                    0.9,                      1,                0.12953,             0.00061504,             0.00061504,             0.00061504
                     16,                 0.0168,                   0.95,                      1,                0.12637,             0.00060797,             0.00060797,             0.00060797
                     17,                0.01275,                  0.925,                      1,                0.12473,              0.0006009,              0.0006009,              0.0006009
                     18,                0.01586,                  0.925,                      1,                0.12381,             0.00059383,             0.00059383,             0.00059383
                     19,                0.01467,                    0.9,                      1,                0.12747,             0.00058677,             0.00058677,             0.00058677
                     20,                0.01897,                    0.9,                      1,                0.12552,              0.0005797,              0.0005797,              0.0005797
                     21,                0.02207,                    0.9,                      1,                 0.1301,             0.00057263,             0.00057263,             0.00057263
                     22,                0.01355,                    0.9,                      1,                0.12598,             0.00056556,             0.00056556,             0.00056556
                     23,                0.01148,                  0.925,                      1,                0.12383,             0.00055849,             0.00055849,             0.00055849
                     24,                0.01029,                    0.9,                      1,                0.13118,             0.00055142,             0.00055142,             0.00055142
                     25,                0.01525,                  0.925,                      1,                0.12349,             0.00054435,             0.00054435,             0.00054435
                     26,                0.00875,                    0.9,                      1,                0.12715,             0.00053728,             0.00053728,             0.00053728
                     27,                0.01054,                  0.875,                      1,                0.13065,             0.00053022,             0.00053022,             0.00053022
                     28,                0.00933,                   0.95,                      1,                0.11993,             0.00052315,             0.00052315,             0.00052315
                     29,                0.00698,                  0.925,                      1,                0.12076,             0.00051608,             0.00051608,             0.00051608
                     30,                 0.0104,                  0.925,                      1,                0.12077,             0.00050901,             0.00050901,             0.00050901
                     31,                 0.0135,                    0.9,                      1,                0.12021,             0.00050194,             0.00050194,             0.00050194
                     32,                0.01202,                    0.9,                      1,                0.12721,             0.00049487,             0.00049487,             0.00049487
                     33,                 0.0079,                    0.9,                      1,                0.12366,              0.0004878,              0.0004878,              0.0004878
                     34,                0.00849,                  0.925,                      1,                0.12041,             0.00048074,             0.00048074,             0.00048074
                     35,                 0.0063,                    0.9,                      1,                0.12326,             0.00047367,             0.00047367,             0.00047367
                     36,                0.00593,                    0.9,                      1,                0.13025,              0.0004666,              0.0004666,              0.0004666
                     37,                0.00691,                   0.85,                      1,                0.13562,             0.00045953,             0.00045953,             0.00045953
                     38,                0.00534,                  0.875,                      1,                0.13219,             0.00045246,             0.00045246,             0.00045246
                     39,                0.00294,                    0.9,                      1,                0.12843,             0.00044539,             0.00044539,             0.00044539
                     40,                0.00671,                  0.875,                      1,                0.13359,             0.00043832,             0.00043832,             0.00043832
                     41,                0.00792,                    0.9,                      1,                0.13295,             0.00043126,             0.00043126,             0.00043126
                     42,                0.01172,                    0.9,                      1,                0.12239,             0.00042419,             0.00042419,             0.00042419
                     43,                0.00564,                    0.9,                      1,                0.12328,             0.00041712,             0.00041712,             0.00041712
                     44,                0.00536,                    0.9,                      1,                0.12755,             0.00041005,             0.00041005,             0.00041005
                     45,                0.00791,                  0.925,                      1,                0.12762,             0.00040298,             0.00040298,             0.00040298
                     46,                0.00914,                  0.875,                      1,                0.13113,             0.00039591,             0.00039591,             0.00039591
                     47,                0.00448,                  0.925,                      1,                0.12704,             0.00038884,             0.00038884,             0.00038884
                     48,                0.00492,                    0.9,                      1,                 0.1302,             0.00038178,             0.00038178,             0.00038178
                     49,                0.00617,                   0.95,                      1,                0.12112,             0.00037471,             0.00037471,             0.00037471
                     50,                0.00691,                  0.925,                      1,                0.12347,             0.00036764,             0.00036764,             0.00036764
                     51,                0.00239,                  0.925,                      1,                0.12531,             0.00036057,             0.00036057,             0.00036057
                     52,                0.00823,                  0.875,                      1,                  0.131,              0.0003535,              0.0003535,              0.0003535
                     53,                0.00564,                  0.875,                      1,                0.13483,             0.00034643,             0.00034643,             0.00034643
                     54,                0.00458,                  0.875,                      1,                0.13217,             0.00033936,             0.00033936,             0.00033936
                     55,                0.00582,                  0.875,                      1,                 0.1272,              0.0003323,              0.0003323,              0.0003323
                     56,                0.00909,                    0.9,                      1,                0.12495,             0.00032523,             0.00032523,             0.00032523
                     57,                0.01518,                    0.9,                      1,                0.12889,             0.00031816,             0.00031816,             0.00031816
                     58,                0.00366,                    0.9,                      1,                0.12596,             0.00031109,             0.00031109,             0.00031109
                     59,                0.00634,                    0.9,                      1,                0.12651,             0.00030402,             0.00030402,             0.00030402
                     60,                0.00329,                  0.875,                      1,                0.12672,             0.00029695,             0.00029695,             0.00029695
                     61,                0.00492,                    0.9,                      1,                0.12502,             0.00028988,             0.00028988,             0.00028988
                     62,                0.00346,                    0.9,                      1,                0.12706,             0.00028282,             0.00028282,             0.00028282
                     63,                0.00126,                    0.9,                      1,                0.12579,             0.00027575,             0.00027575,             0.00027575
