                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.09233,                    0.9,                      1,                0.13469,             0.00023422,             0.00023422,             0.00023422
                      1,                0.05613,                  0.925,                      1,                0.12738,             0.00046755,             0.00046755,             0.00046755
                      2,                0.04784,                  0.925,                      1,                0.13026,             0.00069616,             0.00069616,             0.00069616
                      3,                0.03219,                  0.875,                      1,                0.13312,             0.00069279,             0.00069279,             0.00069279
                      4,                0.03885,                  0.925,                      1,                0.11792,             0.00069279,             0.00069279,             0.00069279
                      5,                0.04922,                    0.9,                      1,                0.12869,             0.00068573,             0.00068573,             0.00068573
                      6,                0.03801,                  0.925,                      1,                0.12221,             0.00067866,             0.00067866,             0.00067866
                      7,                 0.0278,                   0.95,                      1,                 0.1221,             0.00067159,             0.00067159,             0.00067159
                      8,                0.02458,                  0.825,                      1,                0.14442,             0.00066452,             0.00066452,             0.00066452
                      9,                 0.0304,                   0.95,                      1,                0.11725,             0.00065745,             0.00065745,             0.00065745
                     10,                0.02198,                   0.95,                      1,                0.11929,             0.00065038,             0.00065038,             0.00065038
                     11,                0.02211,                   0.95,                      1,                0.11819,             0.00064331,             0.00064331,             0.00064331
                     12,                0.01833,                    0.9,                      1,                0.12341,             0.00063625,             0.00063625,             0.00063625
                     13,                0.02362,                    0.9,                      1,                0.12677,             0.00062918,             0.00062918,             0.00062918
                     14,                0.01743,                  0.925,                      1,                0.12317,             0.00062211,             0.00062211,             0.00062211
                     15,                0.01744,                   0.85,                      1,                0.13625,             0.00061504,             0.00061504,             0.00061504
                     16,                0.01805,                    0.9,                      1,                0.12984,             0.00060797,             0.00060797,             0.00060797
                     17,                0.01558,                  0.975,                      1,                0.11194,              0.0006009,              0.0006009,              0.0006009
                     18,                0.01807,                   0.95,                      1,                0.11368,             0.00059383,             0.00059383,             0.00059383
                     19,                0.01771,                  0.925,                      1,                0.12148,             0.00058677,             0.00058677,             0.00058677
                     20,                0.01798,                    0.9,                      1,                0.12085,              0.0005797,              0.0005797,              0.0005797
                     21,                0.01696,                    0.9,                      1,                0.12143,             0.00057263,             0.00057263,             0.00057263
                     22,                0.01296,                   0.95,                      1,                0.11853,             0.00056556,             0.00056556,             0.00056556
                     23,                 0.0057,                  0.875,                      1,                0.12921,             0.00055849,             0.00055849,             0.00055849
                     24,                0.00982,                  0.925,                      1,                0.12228,             0.00055142,             0.00055142,             0.00055142
                     25,                 0.0159,                  0.925,                      1,                0.12076,             0.00054435,             0.00054435,             0.00054435
                     26,                0.01281,                  0.925,                      1,                 0.1239,             0.00053728,             0.00053728,             0.00053728
                     27,                0.01276,                   0.95,                      1,                0.11852,             0.00053022,             0.00053022,             0.00053022
                     28,                0.01069,                   0.95,                      1,                0.11668,             0.00052315,             0.00052315,             0.00052315
                     29,                0.00681,                  0.925,                      1,                0.11577,             0.00051608,             0.00051608,             0.00051608
                     30,                0.00441,                  0.925,                      1,                0.11707,             0.00050901,             0.00050901,             0.00050901
                     31,                0.00971,                  0.925,                      1,                0.12163,             0.00050194,             0.00050194,             0.00050194
                     32,                0.00972,                    0.9,                      1,                0.12141,             0.00049487,             0.00049487,             0.00049487
                     33,                0.00707,                  0.925,                      1,                 0.1223,              0.0004878,              0.0004878,              0.0004878
                     34,                0.00955,                   0.95,                      1,                0.11847,             0.00048074,             0.00048074,             0.00048074
                     35,                0.00865,                   0.95,                      1,                0.11392,             0.00047367,             0.00047367,             0.00047367
                     36,                0.00439,                  0.925,                      1,                0.12404,              0.0004666,              0.0004666,              0.0004666
                     37,                0.00625,                   0.95,                      1,                0.11288,             0.00045953,             0.00045953,             0.00045953
                     38,                0.00843,                  0.975,                      1,                0.11015,             0.00045246,             0.00045246,             0.00045246
                     39,                0.00526,                  0.975,                      1,                0.10814,             0.00044539,             0.00044539,             0.00044539
                     40,                0.00458,                   0.95,                      1,                0.11351,             0.00043832,             0.00043832,             0.00043832
                     41,                 0.0036,                   0.95,                      1,                0.11493,             0.00043126,             0.00043126,             0.00043126
                     42,                0.00558,                  0.925,                      1,                0.12233,             0.00042419,             0.00042419,             0.00042419
                     43,                 0.0088,                  0.925,                      1,                0.12224,             0.00041712,             0.00041712,             0.00041712
                     44,                0.00556,                    0.9,                      1,                0.13062,             0.00041005,             0.00041005,             0.00041005
