                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.13394,                  0.775,                      1,                0.17056,             0.00023422,             0.00023422,             0.00023422
                      1,                0.07973,                    0.8,                      1,                0.15294,             0.00046755,             0.00046755,             0.00046755
                      2,                0.05808,                    0.9,                      1,                0.13458,             0.00069616,             0.00069616,             0.00069616
                      3,                0.04541,                  0.925,                      1,                0.12703,             0.00069279,             0.00069279,             0.00069279
                      4,                0.04244,                  0.875,                      1,                0.13257,             0.00069279,             0.00069279,             0.00069279
                      5,                0.04739,                    0.9,                      1,                0.12836,             0.00068573,             0.00068573,             0.00068573
                      6,                0.04254,                    0.9,                      1,                0.13081,             0.00067866,             0.00067866,             0.00067866
                      7,                0.03689,                  0.925,                      1,                0.12593,             0.00067159,             0.00067159,             0.00067159
                      8,                0.03322,                  0.975,                      1,                0.11263,             0.00066452,             0.00066452,             0.00066452
                      9,                0.03202,                    0.9,                      1,                0.12331,             0.00065745,             0.00065745,             0.00065745
                     10,                0.02891,                   0.95,                      1,                0.12234,             0.00065038,             0.00065038,             0.00065038
                     11,                0.02921,                  0.925,                      1,                0.12781,             0.00064331,             0.00064331,             0.00064331
                     12,                0.02676,                   0.95,                      1,                0.12036,             0.00063625,             0.00063625,             0.00063625
                     13,                0.03033,                    0.9,                      1,                 0.1286,             0.00062918,             0.00062918,             0.00062918
                     14,                0.02778,                  0.925,                      1,                 0.1252,             0.00062211,             0.00062211,             0.00062211
                     15,                0.01863,                   0.95,                      1,                  0.118,             0.00061504,             0.00061504,             0.00061504
                     16,                0.02158,                  0.875,                      1,                0.12654,             0.00060797,             0.00060797,             0.00060797
                     17,                0.01651,                  0.875,                      1,                0.12839,              0.0006009,              0.0006009,              0.0006009
                     18,                0.01932,                   0.95,                      1,                0.12274,             0.00059383,             0.00059383,             0.00059383
                     19,                0.01792,                  0.875,                      1,                0.13116,             0.00058677,             0.00058677,             0.00058677
                     20,                0.02013,                   0.95,                      1,                0.12263,              0.0005797,              0.0005797,              0.0005797
                     21,                0.02902,                  0.975,                      1,                0.11446,             0.00057263,             0.00057263,             0.00057263
                     22,                0.02636,                   0.95,                      1,                0.11519,             0.00056556,             0.00056556,             0.00056556
                     23,                0.01775,                    0.9,                      1,                0.12885,             0.00055849,             0.00055849,             0.00055849
                     24,                   0.02,                   0.95,                      1,                0.11594,             0.00055142,             0.00055142,             0.00055142
                     25,                0.01898,                    0.9,                      1,                0.12173,             0.00054435,             0.00054435,             0.00054435
                     26,                0.01752,                   0.95,                      1,                0.11861,             0.00053728,             0.00053728,             0.00053728
