                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.14435,                  0.775,                      1,                0.16812,             0.00023422,             0.00023422,             0.00023422
                      1,                0.12659,                  0.825,                      1,                0.16429,             0.00046755,             0.00046755,             0.00046755
                      2,                0.10607,                   0.85,                      1,                0.15311,             0.00069616,             0.00069616,             0.00069616
                      3,                0.10327,                  0.775,                      1,                0.16882,             0.00069279,             0.00069279,             0.00069279
                      4,                0.10209,                   0.85,                      1,                0.15027,             0.00069279,             0.00069279,             0.00069279
                      5,                0.09907,                  0.875,                      1,                0.14554,             0.00068573,             0.00068573,             0.00068573
                      6,                 0.0908,                   0.85,                      1,                0.15219,             0.00067866,             0.00067866,             0.00067866
                      7,                0.08613,                    0.9,                      1,                0.14471,             0.00067159,             0.00067159,             0.00067159
                      8,                 0.0854,                   0.85,                      1,                0.15283,             0.00066452,             0.00066452,             0.00066452
                      9,                0.08325,                    0.9,                      1,                0.14037,             0.00065745,             0.00065745,             0.00065745
                     10,                0.08789,                   0.85,                      1,                0.14627,             0.00065038,             0.00065038,             0.00065038
                     11,                 0.0808,                    0.9,                      1,                0.14078,             0.00064331,             0.00064331,             0.00064331
                     12,                0.08051,                  0.875,                      1,                0.14073,             0.00063625,             0.00063625,             0.00063625
                     13,                0.08791,                   0.85,                      1,                0.15141,             0.00062918,             0.00062918,             0.00062918
                     14,                0.08112,                    0.9,                      1,                0.14128,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.0724,                    0.9,                      1,                 0.1395,             0.00061504,             0.00061504,             0.00061504
                     16,                0.07488,                  0.875,                      1,                0.14989,             0.00060797,             0.00060797,             0.00060797
                     17,                0.07247,                   0.85,                      1,                0.14615,              0.0006009,              0.0006009,              0.0006009
                     18,                0.07045,                    0.9,                      1,                0.13748,             0.00059383,             0.00059383,             0.00059383
                     19,                0.07357,                  0.875,                      1,                 0.1413,             0.00058677,             0.00058677,             0.00058677
                     20,                0.07294,                  0.875,                      1,                0.13676,              0.0005797,              0.0005797,              0.0005797
                     21,                0.07382,                  0.875,                      1,                0.13745,             0.00057263,             0.00057263,             0.00057263
                     22,                0.06773,                  0.875,                      1,                0.13832,             0.00056556,             0.00056556,             0.00056556
                     23,                0.06728,                  0.875,                      1,                0.14246,             0.00055849,             0.00055849,             0.00055849
                     24,                 0.0722,                  0.875,                      1,                0.13623,             0.00055142,             0.00055142,             0.00055142
                     25,                0.07162,                    0.9,                      1,                 0.1373,             0.00054435,             0.00054435,             0.00054435
