                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.31999,                0.54376,                      1,                0.61015,             0.00023624,             0.00023624,             0.00023624
                      1,                0.26842,                0.53259,                      1,                0.59914,             0.00047111,             0.00047111,             0.00047111
                      2,                0.22813,                0.64246,                      1,                0.56168,             0.00070284,             0.00070284,             0.00070284
                      3,                0.20806,                0.65363,                      1,                0.54158,             0.00069986,             0.00069986,             0.00069986
                      4,                0.18689,                0.67598,                      1,                0.52644,             0.00069986,             0.00069986,             0.00069986
                      5,                  0.178,                0.69646,                      1,                0.52588,             0.00069515,             0.00069515,             0.00069515
                      6,                0.16167,                0.72439,                      1,                0.51392,             0.00069044,             0.00069044,             0.00069044
                      7,                0.15583,                0.75233,                      1,                0.49841,             0.00068573,             0.00068573,             0.00068573
                      8,                0.15911,                0.72998,                      1,                0.50933,             0.00068101,             0.00068101,             0.00068101
                      9,                0.15213,                0.77281,                      1,                0.49414,              0.0006763,              0.0006763,              0.0006763
                     10,                 0.1425,                0.77654,                      1,                0.49816,             0.00067159,             0.00067159,             0.00067159
                     11,                0.13101,                 0.7635,                      1,                0.49227,             0.00066688,             0.00066688,             0.00066688
                     12,                 0.1388,                0.78026,                      1,                0.49013,             0.00066216,             0.00066216,             0.00066216
                     13,                0.12678,                0.79888,                      1,                0.48255,             0.00065745,             0.00065745,             0.00065745
                     14,                 0.1247,                0.82682,                      1,                0.46852,             0.00065274,             0.00065274,             0.00065274
                     15,                0.12481,                0.80261,                      1,                0.48802,             0.00064803,             0.00064803,             0.00064803
                     16,                0.12232,                0.83426,                      1,                0.47584,             0.00064331,             0.00064331,             0.00064331
                     17,                0.11495,                0.83613,                      1,                0.46213,              0.0006386,              0.0006386,              0.0006386
                     18,                0.11171,                0.72998,                      1,                0.49904,             0.00063389,             0.00063389,             0.00063389
                     19,                0.11068,                 0.8175,                      1,                0.46865,             0.00062918,             0.00062918,             0.00062918
                     20,                 0.1017,                0.84358,                      1,                 0.4654,             0.00062446,             0.00062446,             0.00062446
                     21,                0.10414,                0.82123,                      1,                0.46842,             0.00061975,             0.00061975,             0.00061975
                     22,                0.10347,                0.87337,                      1,                0.45627,             0.00061504,             0.00061504,             0.00061504
                     23,                0.09904,                0.80261,                      1,                0.46868,             0.00061033,             0.00061033,             0.00061033
