                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.20652,                0.76536,                      1,                0.48752,             0.00023624,             0.00023624,             0.00023624
                      2,                0.13504,                0.79888,                      1,                0.47887,             0.00047111,             0.00047111,             0.00047111
                      3,                 0.1256,                0.83054,                      1,                 0.4665,             0.00070284,             0.00070284,             0.00070284
                      4,                0.12442,                0.76536,                      1,                0.49213,             0.00069986,             0.00069986,             0.00069986
                      5,                 0.1073,                0.85289,                      1,                0.45188,             0.00069986,             0.00069986,             0.00069986
                      6,                0.09588,                 0.8622,                      1,                0.44978,             0.00069515,             0.00069515,             0.00069515
                      7,                0.09703,                0.85661,                      1,                0.45061,             0.00069044,             0.00069044,             0.00069044
                      8,                0.07897,                 0.8622,                      1,                0.44217,             0.00068573,             0.00068573,             0.00068573
                      9,                0.08341,                0.88827,                      1,                0.43438,             0.00068101,             0.00068101,             0.00068101
                     10,                0.08049,                0.90689,                      1,                0.42215,              0.0006763,              0.0006763,              0.0006763
                     11,                 0.0689,                0.86778,                      1,                0.43766,             0.00067159,             0.00067159,             0.00067159
                     12,                0.06831,                0.89199,                      1,                0.42862,             0.00066688,             0.00066688,             0.00066688
                     13,                0.06771,                0.93669,                      1,                0.41531,             0.00066216,             0.00066216,             0.00066216
                     14,                0.06366,                0.87523,                      1,                0.43223,             0.00065745,             0.00065745,             0.00065745
                     15,                0.06153,                0.87337,                      1,                0.43201,             0.00065274,             0.00065274,             0.00065274
                     16,                0.05914,                  0.946,                      1,                0.40596,             0.00064803,             0.00064803,             0.00064803
                     17,                0.05386,                0.86592,                      1,                0.43566,             0.00064331,             0.00064331,             0.00064331
                     18,                0.04829,                0.93296,                      1,                0.40481,              0.0006386,              0.0006386,              0.0006386
                     19,                0.05078,                0.92179,                      1,                0.41336,             0.00063389,             0.00063389,             0.00063389
                     20,                 0.0425,                0.95345,                      1,                0.39931,             0.00062918,             0.00062918,             0.00062918
                     21,                0.03965,                0.91993,                      1,                0.41095,             0.00062446,             0.00062446,             0.00062446
                     22,                0.03748,                0.93669,                      1,                0.40484,             0.00061975,             0.00061975,             0.00061975
                     23,                0.03575,                0.95158,                      1,                0.39951,             0.00061504,             0.00061504,             0.00061504
                     24,                 0.0387,                0.92551,                      1,                0.40988,             0.00061033,             0.00061033,             0.00061033
                     25,                0.04184,                0.91806,                      1,                0.40974,             0.00060561,             0.00060561,             0.00060561
                     26,                0.03661,                0.94227,                      1,                0.40111,              0.0006009,              0.0006009,              0.0006009
                     27,                0.03964,                0.94413,                      1,                0.40349,             0.00059619,             0.00059619,             0.00059619
                     28,                0.03535,                0.93855,                      1,                0.40288,             0.00059148,             0.00059148,             0.00059148
                     29,                0.03242,                0.93482,                      1,                0.40194,             0.00058677,             0.00058677,             0.00058677
                     30,                0.02554,                0.94041,                      1,                0.39964,             0.00058205,             0.00058205,             0.00058205
                     31,                0.02825,                0.95158,                      1,                0.39419,             0.00057734,             0.00057734,             0.00057734
                     32,                0.02416,                0.96276,                      1,                0.39242,             0.00057263,             0.00057263,             0.00057263
                     33,                0.02296,                 0.9702,                      1,                0.39084,             0.00056792,             0.00056792,             0.00056792
                     34,                0.02738,                0.95158,                      1,                0.39818,              0.0005632,              0.0005632,              0.0005632
                     35,                0.02827,                0.93855,                      1,                0.40117,             0.00055849,             0.00055849,             0.00055849
                     36,                0.02671,                0.96834,                      1,                0.38624,             0.00055378,             0.00055378,             0.00055378
                     37,                0.02735,                0.92924,                      1,                0.40532,             0.00054907,             0.00054907,             0.00054907
                     38,                0.02202,                0.95717,                      1,                0.39075,             0.00054435,             0.00054435,             0.00054435
                     39,                0.02483,                0.96089,                      1,                0.39176,             0.00053964,             0.00053964,             0.00053964
                     40,                0.02671,                0.95903,                      1,                0.39133,             0.00053493,             0.00053493,             0.00053493
