                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.19218,                0.66108,                      1,                0.53213,             0.00023624,             0.00023624,             0.00023624
                      2,                 0.1599,                0.78957,                      1,                0.48195,             0.00047189,             0.00047189,             0.00047189
                      3,                0.15267,                 0.7933,                      1,                0.48488,             0.00070519,             0.00070519,             0.00070519
                      4,                0.15402,                0.77467,                      1,                0.48919,              0.0007034,              0.0007034,              0.0007034
                      5,                0.14351,                0.81937,                      1,                0.47243,              0.0007034,              0.0007034,              0.0007034
                      6,                0.12683,                 0.7784,                      1,                0.48575,             0.00069986,             0.00069986,             0.00069986
                      7,                0.11791,                0.85475,                      1,                0.45356,             0.00069633,             0.00069633,             0.00069633
                      8,                0.11547,                0.75419,                      1,                0.49312,             0.00069279,             0.00069279,             0.00069279
                      9,                0.11202,                0.87151,                      1,                0.44978,             0.00068926,             0.00068926,             0.00068926
                     10,                0.10905,                0.80074,                      1,                0.48218,             0.00068573,             0.00068573,             0.00068573
                     11,                0.10632,                0.84544,                      1,                0.44622,             0.00068219,             0.00068219,             0.00068219
                     12,                0.09106,                0.86778,                      1,                0.45223,             0.00067866,             0.00067866,             0.00067866
                     13,                0.11201,                0.82309,                      1,                0.46872,             0.00067512,             0.00067512,             0.00067512
                     14,                0.09947,                0.86778,                      1,                 0.4486,             0.00067159,             0.00067159,             0.00067159
                     15,                0.09455,                0.87151,                      1,                0.44409,             0.00066805,             0.00066805,             0.00066805
                     16,                 0.0934,                0.87709,                      1,                0.44665,             0.00066452,             0.00066452,             0.00066452
                     17,                0.08531,                 0.9162,                      1,                0.43165,             0.00066099,             0.00066099,             0.00066099
                     18,                0.08164,                0.88082,                      1,                0.43288,             0.00065745,             0.00065745,             0.00065745
                     19,                0.08305,                0.87523,                      1,                0.43866,             0.00065392,             0.00065392,             0.00065392
                     20,                0.08077,                0.89199,                      1,                0.43134,             0.00065038,             0.00065038,             0.00065038
                     21,                0.07468,                0.89572,                      1,                0.43605,             0.00064685,             0.00064685,             0.00064685
                     22,                0.07107,                0.89013,                      1,                0.42943,             0.00064331,             0.00064331,             0.00064331
                     23,                0.07181,                0.89572,                      1,                0.42564,             0.00063978,             0.00063978,             0.00063978
                     24,                0.07112,                0.90317,                      1,                0.42429,             0.00063625,             0.00063625,             0.00063625
                     25,                0.07308,                0.91248,                      1,                0.42621,             0.00063271,             0.00063271,             0.00063271
                     26,                0.06407,                0.90503,                      1,                0.42449,             0.00062918,             0.00062918,             0.00062918
                     27,                0.07295,                0.88082,                      1,                0.43555,             0.00062564,             0.00062564,             0.00062564
                     28,                0.06433,                0.91061,                      1,                0.42228,             0.00062211,             0.00062211,             0.00062211
                     29,                0.05505,                0.89385,                      1,                0.42535,             0.00061857,             0.00061857,             0.00061857
                     30,                0.05064,                0.92924,                      1,                0.41814,             0.00061504,             0.00061504,             0.00061504
                     31,                0.05577,                0.89572,                      1,                0.42648,             0.00061151,             0.00061151,             0.00061151
                     32,                0.04793,                0.90503,                      1,                0.41758,             0.00060797,             0.00060797,             0.00060797
                     33,                0.05551,                 0.9013,                      1,                0.42505,             0.00060444,             0.00060444,             0.00060444
                     34,                0.04903,                0.91061,                      1,                0.41823,              0.0006009,              0.0006009,              0.0006009
                     35,                0.04337,                0.91806,                      1,                 0.4153,             0.00059737,             0.00059737,             0.00059737
                     36,                0.05659,                0.89013,                      1,                0.42393,             0.00059383,             0.00059383,             0.00059383
                     37,                0.05583,                0.90875,                      1,                0.41989,              0.0005903,              0.0005903,              0.0005903
                     38,                0.05441,                0.92365,                      1,                0.40942,             0.00058677,             0.00058677,             0.00058677
                     39,                0.04719,                0.92737,                      1,                 0.4126,             0.00058323,             0.00058323,             0.00058323
                     40,                0.04082,                0.94041,                      1,                0.40678,              0.0005797,              0.0005797,              0.0005797
                     41,                0.03944,                0.94041,                      1,                0.40672,             0.00057616,             0.00057616,             0.00057616
                     42,                0.03195,                0.93482,                      1,                0.40638,             0.00057263,             0.00057263,             0.00057263
                     43,                0.03215,                 0.9162,                      1,                0.40909,             0.00056909,             0.00056909,             0.00056909
                     44,                0.03929,                0.89199,                      1,                 0.4239,             0.00056556,             0.00056556,             0.00056556
                     45,                0.03848,                0.91993,                      1,                0.41524,             0.00056203,             0.00056203,             0.00056203
                     46,                0.03724,                0.94972,                      1,                 0.4003,             0.00055849,             0.00055849,             0.00055849
                     47,                0.03463,                0.95717,                      1,                0.39928,             0.00055496,             0.00055496,             0.00055496
                     48,                0.03105,                0.93855,                      1,                0.40081,             0.00055142,             0.00055142,             0.00055142
                     49,                0.03443,                0.93482,                      1,                0.40629,             0.00054789,             0.00054789,             0.00054789
                     50,                0.02982,                0.92365,                      1,                0.40632,             0.00054435,             0.00054435,             0.00054435
                     51,                0.02853,                0.92924,                      1,                0.40483,             0.00054082,             0.00054082,             0.00054082
                     52,                0.02201,                 0.9311,                      1,                0.40078,             0.00053728,             0.00053728,             0.00053728
                     53,                0.03427,                0.93669,                      1,                0.40535,             0.00053375,             0.00053375,             0.00053375
                     54,                0.02736,                0.92551,                      1,                0.40451,             0.00053022,             0.00053022,             0.00053022
                     55,                0.03159,                0.94227,                      1,                 0.4003,             0.00052668,             0.00052668,             0.00052668
                     56,                0.02386,                0.94413,                      1,                0.40086,             0.00052315,             0.00052315,             0.00052315
                     57,                0.02182,                0.93296,                      1,                0.40635,             0.00051961,             0.00051961,             0.00051961
                     58,                0.03027,                0.95531,                      1,                0.39467,             0.00051608,             0.00051608,             0.00051608
                     59,                0.02948,                0.94227,                      1,                0.40177,             0.00051254,             0.00051254,             0.00051254
                     60,                0.03006,                0.95531,                      1,                0.39374,             0.00050901,             0.00050901,             0.00050901
                     61,                0.02678,                0.94041,                      1,                 0.3993,             0.00050548,             0.00050548,             0.00050548
                     62,                0.02347,                0.95717,                      1,                 0.3933,             0.00050194,             0.00050194,             0.00050194
                     63,                0.01514,                0.94413,                      1,                0.39781,             0.00049841,             0.00049841,             0.00049841
                     64,                0.01523,                0.95345,                      1,                0.39426,             0.00049487,             0.00049487,             0.00049487
                     65,                0.01964,                0.94041,                      1,                0.39842,             0.00049134,             0.00049134,             0.00049134
                     66,                0.02275,                  0.946,                      1,                0.39492,              0.0004878,              0.0004878,              0.0004878
                     67,                0.02605,                0.95345,                      1,                0.39203,             0.00048427,             0.00048427,             0.00048427
                     68,                0.02166,                0.94227,                      1,                0.39977,             0.00048074,             0.00048074,             0.00048074
                     69,                0.02074,                0.94972,                      1,                0.39545,              0.0004772,              0.0004772,              0.0004772
                     70,                0.01864,                0.95531,                      1,                0.39113,             0.00047367,             0.00047367,             0.00047367
                     71,                0.02179,                0.94972,                      1,                0.39238,             0.00047013,             0.00047013,             0.00047013
                     72,                0.01972,                0.95345,                      1,                0.39308,              0.0004666,              0.0004666,              0.0004666
                     73,                0.01627,                0.94972,                      1,                0.39432,             0.00046306,             0.00046306,             0.00046306
                     74,                0.01638,                0.94972,                      1,                0.39455,             0.00045953,             0.00045953,             0.00045953
                     75,                0.01705,                0.95345,                      1,                0.39071,               0.000456,               0.000456,               0.000456
                     76,                0.01448,                0.95717,                      1,                0.39052,             0.00045246,             0.00045246,             0.00045246
                     77,                0.01638,                0.95345,                      1,                0.39314,             0.00044893,             0.00044893,             0.00044893
                     78,                0.01445,                0.95717,                      1,                0.39014,             0.00044539,             0.00044539,             0.00044539
                     79,                0.01266,                0.96462,                      1,                0.38801,             0.00044186,             0.00044186,             0.00044186
                     80,                0.01434,                0.95903,                      1,                 0.3905,             0.00043832,             0.00043832,             0.00043832
                     81,                0.01144,                0.96462,                      1,                0.38818,             0.00043479,             0.00043479,             0.00043479
                     82,                0.01184,                0.96089,                      1,                0.38731,             0.00043126,             0.00043126,             0.00043126
                     83,                0.01429,                0.96462,                      1,                0.38788,             0.00042772,             0.00042772,             0.00042772
                     84,                0.01157,                0.95903,                      1,                0.38864,             0.00042419,             0.00042419,             0.00042419
                     85,                0.00891,                0.96462,                      1,                 0.3859,             0.00042065,             0.00042065,             0.00042065
                     86,                 0.0081,                0.95531,                      1,                0.39202,             0.00041712,             0.00041712,             0.00041712
                     87,                 0.0099,                0.96462,                      1,                0.38793,             0.00041358,             0.00041358,             0.00041358
                     88,                0.00924,                0.96834,                      1,                0.38705,             0.00041005,             0.00041005,             0.00041005
                     89,                0.01063,                0.96648,                      1,                0.38504,             0.00040652,             0.00040652,             0.00040652
                     90,                0.01385,                0.95903,                      1,                0.38994,             0.00040298,             0.00040298,             0.00040298
                     91,                0.01144,                0.96462,                      1,                 0.3879,             0.00039945,             0.00039945,             0.00039945
                     92,                0.01236,                0.95903,                      1,                0.38966,             0.00039591,             0.00039591,             0.00039591
                     93,                0.01253,                0.95717,                      1,                0.39156,             0.00039238,             0.00039238,             0.00039238
                     94,                0.00872,                0.96089,                      1,                0.38905,             0.00038884,             0.00038884,             0.00038884
                     95,                0.00842,                0.95903,                      1,                0.38784,             0.00038531,             0.00038531,             0.00038531
                     96,                0.01286,                0.96089,                      1,                0.38748,             0.00038178,             0.00038178,             0.00038178
                     97,                0.01357,                0.96834,                      1,                0.38725,             0.00037824,             0.00037824,             0.00037824
                     98,                0.01203,                0.96276,                      1,                0.38692,             0.00037471,             0.00037471,             0.00037471
                     99,                 0.0096,                0.96462,                      1,                0.38517,             0.00037117,             0.00037117,             0.00037117
                    100,                 0.0086,                 0.9702,                      1,                0.38362,             0.00036764,             0.00036764,             0.00036764
                    101,                0.01034,                0.96462,                      1,                0.38567,              0.0003641,              0.0003641,              0.0003641
