                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2207,                 4.6915,                 3.2368,                0.10045,                0.15668,                0.04308,                0.01253,                 3.1365,                  3.818,                 2.7366,             0.00066403,             0.00066403,             0.00066403
                      1,                 2.5351,                 2.3245,                 2.0154,                  0.407,                0.40783,                0.31149,                0.12369,                 2.2786,                 2.0811,                 2.0748,              0.0013175,              0.0013175,              0.0013175
                      2,                 2.1845,                  1.779,                 1.7281,                0.60223,                0.48848,                0.47167,                 0.1405,                 2.5191,                 1.6739,                 2.0804,              0.0019578,              0.0019578,              0.0019578
                      3,                 2.0539,                 1.5455,                 1.6062,                0.84328,                0.62673,                0.71658,                0.32009,                 1.8721,                 1.3547,                 1.7253,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.9374,                 1.3816,                 1.5221,                0.73654,                0.56221,                0.65148,                0.27093,                 1.9945,                 1.4721,                 1.7326,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8353,                 1.2732,                 1.4467,                 0.8379,                0.72654,                0.81277,                0.37467,                 1.7633,                 1.1557,                 1.5694,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.782,                   1.19,                 1.4145,                0.90537,                0.74885,                 0.8362,                0.46374,                 1.6049,                 1.0131,                  1.477,               0.001901,               0.001901,               0.001901
                      7,                 1.6906,                 1.0878,                  1.363,                0.91155,                0.79493,                0.86559,                0.46005,                 1.5964,                0.97859,                 1.4601,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6569,                 1.0585,                 1.3313,                0.90359,                 0.7558,                0.84078,                0.49662,                 1.4952,                0.98859,                 1.4079,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6247,                 1.0262,                 1.3271,                0.93821,                0.80462,                0.86941,                0.49548,                 1.5066,                0.88945,                 1.3987,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5788,                0.98178,                 1.2987,                 0.9705,                0.83394,                 0.8888,                0.47252,                 1.5491,                0.90259,                 1.3917,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5666,                0.94533,                 1.2815,                0.95347,                0.82028,                0.89464,                0.52563,                  1.429,                0.81556,                 1.3594,               0.001802,               0.001802,               0.001802
                     12,                 1.5258,                0.91135,                 1.2763,                0.94758,                0.83299,                0.89548,                0.54119,                 1.3968,                0.79146,                 1.3108,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4979,                0.87313,                 1.2544,                0.95234,                0.86406,                0.91725,                0.56729,                 1.3792,                0.73158,                 1.3047,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4928,                0.87525,                 1.2439,                0.94243,                0.85714,                0.90746,                0.53466,                 1.4078,                0.83503,                 1.3564,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4711,                0.85341,                 1.2383,                 0.9718,                0.85945,                 0.9064,                 0.5723,                 1.3525,                0.73258,                 1.3051,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4411,                 0.8286,                 1.2276,                0.97332,                0.84052,                0.89816,                0.55542,                 1.3742,                0.74833,                 1.2989,               0.001703,               0.001703,               0.001703
                     17,                 1.4539,                0.82731,                 1.2242,                0.96378,                0.85023,                  0.897,                0.54843,                 1.3339,                0.75714,                 1.2765,              0.0016832,              0.0016832,              0.0016832
