                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5849,                 3.8758,                 3.7843,                 0.5036,                0.05184,                0.00509,                0.00112,                 3.3271,                 4.0525,                 3.5231,             0.00055348,             0.00055348,             0.00055348
                      1,                 2.8227,                 2.8824,                 2.7563,                0.20133,                0.22236,                0.16138,                0.05408,                 2.6418,                 2.9582,                 2.5703,              0.0010982,              0.0010982,              0.0010982
                      2,                 2.3845,                 2.4156,                 2.2915,                0.33064,                0.36748,                0.29769,                0.09451,                 2.4293,                  2.198,                 2.4551,              0.0016318,              0.0016318,              0.0016318
                      3,                 2.1709,                 2.1529,                 2.0797,                0.58241,                0.47639,                0.52443,                0.20675,                 2.1196,                  1.932,                 2.1296,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.0162,                 1.9855,                 1.9241,                0.52002,                0.54778,                0.55535,                0.22507,                 2.0222,                 1.7237,                   1.97,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9033,                 1.8563,                 1.8333,                0.57063,                0.57483,                0.61664,                0.26871,                 1.8221,                 1.5643,                 1.8491,               0.001601,               0.001601,               0.001601
                      6,                 1.8441,                 1.7619,                 1.7878,                0.46275,                0.61307,                0.51569,                 0.2351,                 1.8129,                 1.5147,                 1.7735,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.7809,                 1.6894,                 1.7268,                0.61756,                0.64034,                0.61712,                0.32147,                 1.6057,                  1.445,                 1.7062,               0.001568,               0.001568,               0.001568
                      8,                 1.7494,                 1.6444,                 1.6813,                0.55876,                0.75846,                0.59159,                0.31063,                 1.6364,                 1.3169,                 1.6858,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.6998,                 1.5953,                 1.6499,                0.76632,                0.71715,                0.77734,                0.39773,                 1.6147,                 1.2959,                 1.6785,               0.001535,               0.001535,               0.001535
                     10,                 1.6724,                 1.5526,                 1.6292,                0.70231,                0.72355,                0.75109,                0.42632,                   1.46,                 1.1871,                 1.5955,              0.0015185,              0.0015185,              0.0015185
                     11,                   1.62,                 1.4851,                 1.5797,                0.67162,                0.84424,                0.75937,                0.46404,                 1.3771,                 1.0742,                 1.5447,               0.001502,               0.001502,               0.001502
                     12,                 1.6245,                 1.4946,                 1.5866,                0.65038,                0.80601,                0.69229,                0.42794,                 1.3426,                 1.1273,                 1.5075,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.5988,                 1.4566,                 1.5691,                0.67981,                0.85918,                0.79265,                0.48884,                 1.3465,                 1.0476,                 1.4943,               0.001469,               0.001469,               0.001469
                     14,                 1.5723,                 1.4243,                 1.5437,                0.64385,                0.80519,                0.66746,                0.40995,                 1.3553,                 1.0981,                  1.485,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.5423,                 1.3882,                 1.5203,                0.63784,                0.82731,                0.67522,                0.40872,                 1.3306,                 1.0575,                  1.496,               0.001436,               0.001436,               0.001436
                     16,                 1.5266,                 1.3716,                 1.5117,                0.63919,                0.84057,                  0.656,                0.38815,                 1.3328,                 1.0931,                 1.5031,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.5147,                 1.3712,                 1.4933,                0.69306,                0.86848,                0.75431,                0.47715,                 1.2727,                0.98145,                 1.4643,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.5016,                 1.3536,                 1.4862,                0.67345,                0.80097,                0.76212,                0.47148,                 1.3428,                 1.0469,                 1.5104,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.4804,                 1.3211,                 1.4731,                0.67088,                0.83349,                0.70865,                0.46816,                 1.1527,                 0.9689,                 1.3896,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.4652,                  1.323,                 1.4594,                0.69518,                0.84949,                0.68899,                0.45012,                 1.2152,                0.97383,                 1.4131,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.4554,                 1.3002,                 1.4481,                 0.6983,                 0.8806,                 0.7572,                  0.503,                 1.1515,                0.92846,                 1.3811,              0.0013369,              0.0013369,              0.0013369
