                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5506,                 1.9493,                 1.1762,                0.86273,                0.59376,                0.70672,                0.43123,                   1.39,                 2.2044,                 1.1618,             0.00066403,             0.00066403,             0.00066403
                      2,                 1.4952,                 1.1793,                 1.1651,                0.84825,                0.68265,                0.76961,                0.44309,                 1.5153,                 1.3395,                 1.3109,              0.0013175,              0.0013175,              0.0013175
                      3,                 1.4684,                 1.0295,                 1.1846,                0.67172,                0.59217,                0.66701,                0.32689,                 1.6561,                 1.4911,                  1.317,              0.0019578,              0.0019578,              0.0019578
                      4,                 1.4613,                 0.9544,                 1.1908,                0.93802,                0.83696,                0.90707,                0.56537,                 1.2663,                0.87671,                 1.2174,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4299,                0.89388,                 1.1716,                0.94736,                0.82932,                0.90552,                0.55431,                 1.4018,                0.82235,                  1.298,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3968,                0.85955,                 1.1564,                0.91661,                0.85484,                0.90766,                0.58124,                 1.2657,                0.77422,                 1.2127,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3682,                0.82328,                 1.1485,                0.97409,                0.90323,                0.92315,                0.59926,                 1.2354,                0.69353,                 1.2147,               0.001901,               0.001901,               0.001901
                      8,                 1.3419,                0.77903,                 1.1382,                   0.96,                0.88489,                0.92332,                 0.6143,                 1.2245,                0.68459,                 1.1962,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.306,                0.75396,                 1.1189,                0.98694,                0.87079,                0.92133,                0.62677,                 1.1931,                0.66476,                 1.1626,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2941,                0.74806,                 1.1181,                0.95824,                 0.8871,                0.93353,                0.61086,                 1.2318,                0.65367,                 1.1824,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2697,                0.72351,                 1.1144,                0.94341,                0.88346,                0.93001,                0.62365,                 1.1523,                0.64219,                 1.1483,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2605,                0.70516,                 1.1025,                0.97532,                0.91061,                0.93981,                0.64027,                 1.1458,                0.59538,                 1.1437,               0.001802,               0.001802,               0.001802
                     13,                 1.2486,                0.69875,                  1.111,                0.97987,                 0.8971,                0.93453,                0.64396,                 1.1397,                0.61469,                 1.1446,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2429,                0.68641,                  1.102,                 0.9648,                0.89171,                0.93937,                0.63268,                 1.1609,                0.62661,                 1.1561,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2432,                 0.6822,                  1.092,                0.97889,                0.88249,                0.93966,                0.63955,                 1.1595,                0.62564,                 1.1583,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.226,                0.67185,                 1.0942,                0.97868,                0.89631,                0.93668,                0.63465,                 1.1444,                0.60289,                 1.1643,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2135,                0.65944,                 1.0937,                0.98492,                  0.903,                0.93639,                0.64874,                 1.1307,                0.57302,                  1.145,               0.001703,               0.001703,               0.001703
                     18,                 1.2126,                0.64865,                  1.086,                0.98813,                0.89631,                0.94242,                0.64099,                 1.1448,                0.56657,                 1.1513,              0.0016832,              0.0016832,              0.0016832
