                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3958,                 1.4874,                 1.1737,                  0.885,                0.78111,                0.85099,                0.56152,                 1.2248,                0.84503,                 1.1131,              0.0033202,              0.0033202,              0.0033202
                      2,                 1.3067,                0.82536,                 1.0746,                0.95952,                0.81917,                0.89805,                0.55643,                  1.278,                0.81498,                 1.0624,              0.0066403,              0.0066403,              0.0066403
                      3,                 1.3806,                0.91406,                 1.1323,                0.89024,                0.78493,                0.84376,                0.48709,                  1.441,                0.98869,                 1.2952,              0.0099473,              0.0099473,              0.0099473
                      4,                 1.4571,                0.94256,                 1.1701,                0.92109,                0.80184,                 0.8772,                 0.5403,                 1.3577,                0.87462,                 1.2003,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4431,                0.88128,                 1.1889,                0.92145,                0.81336,                0.88408,                0.54688,                 1.3121,                0.80767,                 1.2472,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.3921,                0.81866,                 1.1722,                 0.9675,                0.89162,                0.92347,                0.58539,                 1.2439,                0.72467,                 1.2277,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.3767,                0.79633,                 1.1803,                0.92032,                 0.8783,                0.90839,                0.61123,                 1.2249,                0.68607,                 1.2145,               0.009901,               0.009901,               0.009901
                      8,                 1.3156,                0.74422,                 1.1528,                0.96698,                 0.8894,                0.91884,                0.61242,                 1.2107,                0.64855,                 1.2075,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.3024,                0.71717,                 1.1385,                0.96644,                0.87788,                0.92853,                0.60736,                  1.269,                0.68701,                 1.2359,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2873,                0.71806,                 1.1419,                 0.9752,                 0.8871,                0.93455,                0.64712,                  1.134,                0.59696,                 1.1523,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.2712,                0.69121,                 1.1357,                0.97729,                0.89227,                0.92889,                0.61905,                 1.1842,                0.59826,                 1.1873,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.2404,                0.67397,                 1.1145,                0.98735,                0.89903,                0.94508,                0.65703,                 1.0825,                0.54414,                 1.1374,               0.009802,               0.009802,               0.009802
                     13,                 1.2321,                0.66371,                 1.1184,                0.97293,                 0.8871,                0.93907,                 0.6457,                 1.1462,                0.57385,                 1.1681,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.2212,                0.64546,                 1.1137,                0.98857,                0.90783,                0.94798,                0.64957,                 1.1575,                0.54972,                  1.183,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.2162,                0.64372,                 1.1035,                0.98386,                0.90553,                0.95194,                0.66673,                 1.1059,                0.55561,                 1.1386,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.2004,                0.62544,                 1.1015,                0.98843,                0.90323,                0.93779,                0.64741,                 1.0949,                0.54632,                 1.1662,              0.0097228,              0.0097228,              0.0097228
                     17,                  1.188,                0.62395,                 1.0984,                   0.99,                0.91206,                0.94262,                0.66621,                 1.0909,                0.51285,                 1.1533,               0.009703,               0.009703,               0.009703
                     18,                 1.1945,                0.60521,                 1.0948,                 0.9801,                0.90777,                0.95633,                0.67788,                 1.0563,                0.51719,                 1.1272,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.1675,                0.60126,                 1.0839,                0.97814,                0.91244,                0.94176,                0.63931,                 1.1641,                0.55513,                 1.2164,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.1646,                0.60502,                 1.0861,                0.97997,                0.90207,                0.94624,                0.67045,                 1.0923,                0.53795,                 1.1514,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.1564,                 0.5939,                 1.0834,                0.99113,                0.91014,                0.94895,                0.68099,                 1.0481,                0.51522,                  1.113,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.1466,                0.58516,                 1.0729,                0.98472,                0.91705,                0.96391,                0.69188,                 1.0221,                0.50964,                 1.1066,               0.009604,               0.009604,               0.009604
                     23,                  1.128,                0.57605,                 1.0647,                0.99394,                0.90553,                0.95999,                 0.6805,                 1.0152,                0.48294,                 1.1142,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.1346,                0.57593,                 1.0783,                0.98261,                0.91159,                0.95444,                0.68199,                 1.0416,                0.52002,                 1.1302,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.1234,                0.56971,                  1.068,                0.98753,                0.91223,                0.95846,                0.69544,                 1.0417,                0.48068,                 1.1284,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.1121,                 0.5686,                 1.0587,                0.98548,                0.90783,                0.95326,                0.69032,                 1.0031,                0.49712,                 1.0984,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.1116,                0.55426,                 1.0601,                0.99155,                0.91244,                0.96554,                0.68455,                  1.059,                0.48235,                 1.1266,               0.009505,               0.009505,               0.009505
                     28,                 1.1015,                0.55062,                 1.0564,                0.99227,                0.91244,                0.95097,                0.66341,                 1.0626,                0.50769,                 1.1188,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.1034,                0.54665,                 1.0598,                0.99236,                0.91014,                0.96308,                0.69381,                 1.0333,                0.47724,                 1.1228,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.1074,                0.55878,                 1.0519,                0.99499,                0.91444,                0.96649,                0.68402,                 1.0541,                0.47355,                 1.1193,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.0814,                0.54083,                  1.053,                0.99747,                0.90962,                 0.9667,                0.70146,                 1.0163,                0.47437,                  1.095,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.0982,                 0.5469,                 1.0506,                0.99467,                0.90323,                0.96544,                  0.698,                 1.0485,                0.47913,                 1.1094,               0.009406,               0.009406,               0.009406
                     33,                 1.0819,                 0.5272,                 1.0423,                0.99249,                 0.9136,                0.97013,                0.72177,                0.97707,                0.45904,                  1.106,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.0769,                0.53024,                 1.0437,                0.99002,                0.91475,                0.96424,                0.70343,                0.99045,                0.45718,                 1.0913,              0.0093664,              0.0093664,              0.0093664
                     35,                  1.066,                0.52972,                 1.0405,                0.99678,                0.91935,                 0.9687,                0.70365,                 1.0089,                0.45449,                 1.1002,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.0589,                0.52623,                 1.0376,                0.99498,                0.91341,                0.96972,                0.69822,                 1.0415,                 0.4716,                 1.1086,              0.0093268,              0.0093268,              0.0093268
